,"Requested variables (1 = yes, 0 = no)",Variable Name,Change,Variable Definition,Historical Data Available,Questions,Source File/Table,Source Column,Data Type,Sample Data,Unique Value,Missing,Notes
1,1,major_code_4,,"The three digit code identifying the major, as defined in Banner. This code represents the current view of the major, even for historical data.",,XL: CIP CODE MISSING,SDW.D_School_Maj,Maj_Code,integer,540,"&: 50%
540: 50%
NA",99.99%,
1,1,major_name_4,,"The current long name associated with this major code, as it appears on the Registrar's course and major database. Example: ""Biochemistry and Molecular Biology""",,,SDW.D_School_Maj,Maj_Name,string,Mathematics,"Mathematics: 50%
Unknown: 50%
NA",99.99%,
1,1,major_name_abbrev_4,,"The current abbreviation associated with this major code. Example, ""BIOCHEM""",,,SDW.D_School_Maj,Maj_Name_Abbrev,string,MATH,"MATH: 50%
Unknown: 50%
NA",99.99%,
1,1,major_school_code_4,,"School code (aka College Code) for the school offering the major, as it appears in Banner. Prior to the Banner go-live, School Code and Legacy School code are the same.",,,SDW.D_School_Maj,School_Code,integer,62,"&: 50%
62: 50%
NA",99.99%,
1,1,major_school_name_4,,"Standard (up to 50 characters) school name for the school offering this major. Example, ""School of Engineering""",,,SDW.D_School_Maj,School_Name,string,School of Physical Sciences,"School of Physical Sciences: 50%
Unknown: 50%
NA",99.99%,
1,1,major_school_name_abbrev_4,,"Abbreviated school name for the school offering this major. Example, ""Engr.""",,,SDW.D_School_Maj,School_Name_Abbrev,string,Phys Sci,"Phys Sci: 50%
Unknown: 50%
NA",99.99%,
,0,major_subcampus_4,,"The locational subcampus of this Major, using UCI definition. General Campus or Health Sciences.",,,SDW.D_School_Maj,Subcampus,string,General campus,"General campus: 50%
Unknown: 50%
NA",99.99%,
,0,major_funding_4,,Indicates whether this major is state funded or self-supporting.,,,,,,,NA: numeric(0),100%,
1,1,major_stem_4,,"Indicates whether this is a STEM (Science, Technology, Engineering, Math) major. Values are 0 and 1",,,SDW.D_School_Maj,Stem_Ind,bianry,1,"1: 100%
NA",99.99%,
1,1,major_degree_granting_4,,Indicates whether degrees are granted in this major. Values are 0 and 1,,,SDW.D_School_Maj,Degree_Granting_Maj_Ind,binary,1,"1: 100%
NA",99.99%,
1,1,major_graduated_4,,Indicates whether the student has graduated with this major in the current term. Values are 0 and 1,,,,,,,NA: numeric(0),100%,
0,1,major_minor,new added (only in historical data),,,,MAJORINFO.DW_MINOR,"REGDB.MINORS_LOOKUP
join on MINORS_CODE=DW_MINOR",,,,,
,0,current_ind,change to lower case,Indicates if the record is current. Values are 1 for current 0 for expired,,"XW: 1. Not sure if it is capital i, or lowercase L in ""Ind"".  2. I don't see 143-158 variables in this doc shown in ""student_term"" spreadsheet.",,,,,,,missing
,0,eff_start_dt,change to lower case,the date the record is effective as of,,,,,,,,,missing
,0,eff_end_dt,change to lower case,"the date the record stopped being effective as of. values will be 999999 for current records
or the date",,,,,,,,,missing
,0,MAPPING_NM,,This is an audit column - will not appear in the file,,,,,,,,,missing
,0,LAST_UPDATED_DT,,This is an audit column - will not appear in the file,,,,,,,,,missing
